LPrice,LSqft,Bed,Bath,Age,Quality,AC,Garage,Pool,Price,Sqft
5.5563,3.48173,4,4,30,Medium,Yes,2,No,360000,3032
5.53148,3.31345,4,2,26,Medium,Yes,2,No,340000,2058
5.39794,3.25042,4,3,22,Medium,Yes,2,No,250000,1780
5.31281,3.21431,4,2,39,Medium,Yes,2,No,205500,1638
5.44012,3.34163,4,3,34,Medium,Yes,2,No,275500,2196
5.39445,3.29358,4,3,30,Medium,Yes,5,Yes,248000,1966
5.36154,3.34557,3,2,30,Medium,Yes,2,No,229900,2216
5.17609,3.2033,2,1,47,Medium,Yes,1,No,150000,1597
5.29003,3.21005,3,2,27,Low,Yes,2,No,195000,1622
5.20412,3.29579,3,3,84,Low,No,1,No,160000,1976
5.27875,3.44902,7,5,36,Low,No,2,Yes,190000,2812
5.74741,3.44576,3,4,10,High,Yes,3,No,559000,2791
5.72835,3.52905,5,4,14,High,Yes,3,No,535000,3381
5.72016,3.53895,5,4,24,High,Yes,2,No,525000,3459
5.47698,3.32015,3,3,15,Medium,Yes,2,No,299900,2090
5.72181,3.50947,5,5,18,Medium,Yes,2,No,527000,3232
5.23019,3.17667,2,2,46,Medium,Yes,2,No,169900,1502
5.52537,3.43886,3,4,9,Medium,Yes,2,No,335250,2747
5.51041,3.4609,4,3,48,Medium,Yes,2,No,323900,2890
5.30103,3.26126,3,3,45,Medium,Yes,2,No,200000,1825
5.32428,3.19811,4,3,16,Medium,Yes,2,No,211000,1578
5.32634,3.24625,3,3,43,Medium,Yes,2,No,212000,1763
5.38917,3.40088,4,3,37,Medium,Yes,2,No,245000,2517
5.14737,3.27231,3,2,17,Medium,Yes,2,No,140400,1872
5.46982,3.51402,3,3,94,Medium,Yes,2,No,295000,3266
5.23274,3.30535,1,2,46,Medium,Yes,1,No,170900,2020
5.35984,3.33526,4,2,37,Medium,Yes,2,No,229000,2164
5.33945,3.31806,3,2,43,Medium,Yes,2,Yes,218500,2080
5.20412,3.344,2,2,17,Medium,Yes,2,No,160000,2208
5.4133,3.48401,6,4,42,Medium,Yes,3,No,259000,3048
5.21617,3.16435,3,2,24,Medium,Yes,2,No,164500,1460
5.44716,3.40483,3,2,62,Medium,No,2,No,280000,2540
5.18752,3.344,2,2,17,Medium,Yes,2,No,154000,2208
5.43457,3.40824,4,2,25,Medium,Yes,3,No,272000,2560
5.25527,3.31408,4,2,44,Medium,No,2,No,180000,2061
5.19728,3.29667,3,2,45,Medium,Yes,2,No,157500,1980
5.38471,3.51957,5,4,74,Medium,Yes,2,No,242500,3308
5.26007,3.41764,5,3,47,Low,No,2,No,182000,2616
5.25042,3.16435,4,2,41,Low,Yes,2,No,178000,1460
5.23528,3.19866,2,1,51,Low,No,1,No,171900,1580
5.2188,3.16435,3,2,42,Low,Yes,2,No,165500,1460
5.26364,3.18752,3,2,10,Low,Yes,2,No,183500,1540
5.13033,3.14239,2,1,51,Low,No,2,No,135000,1388
5.24304,3.21059,3,2,54,Low,Yes,2,No,175000,1624
5.17464,3.19866,2,1,36,Low,Yes,2,No,149500,1580
5.2492,3.26007,3,2,42,Low,Yes,2,No,177500,1820
5.19033,3.2388,4,1,66,Low,Yes,1,No,155000,1733
5.16137,3.27784,3,2,77,Low,No,2,No,145000,1896
5.25042,3.3092,2,2,84,Low,No,2,No,178000,2038
5.19312,3.15715,3,2,82,Low,No,3,No,156000,1436
5.2014,3.22789,3,2,80,Low,No,1,No,159000,1690
5.20412,3.17493,2,2,102,Low,No,1,No,160000,1496
5.04922,3.2222,2,1,54,Low,No,1,No,112000,1668
4.92428,2.99123,1,1,51,Low,No,1,No,84000,980
5.19033,3.40858,3,2,117,Low,No,2,No,155000,2562
5.5563,3.36248,5,4,24,Medium,Yes,3,No,360000,2304
5.01703,3.10312,2,1,55,Low,No,1,No,104000,1268
5.62325,3.35851,3,3,5,High,Yes,3,No,420000,2283
5.55023,3.31387,2,3,5,Medium,Yes,2,No,355000,2060
5.21748,3.31952,2,2,36,Medium,Yes,2,No,165000,2087
5.38739,3.31827,4,2,22,Medium,Yes,2,No,244000,2081
5.25503,3.22943,3,3,24,Medium,Yes,2,No,179900,1696
5.40312,3.34674,4,2,47,Medium,No,2,No,253000,2222
5.30103,3.32428,5,3,45,Medium,Yes,2,No,200000,2110
5.30103,3.24895,4,2,39,Low,No,2,No,200000,1774
5.16938,3.20194,3,2,45,Low,Yes,2,No,147700,1592
5.27577,3.24254,3,2,30,Low,Yes,2,No,188700,1748
5.24797,3.29776,3,1,54,Low,No,2,No,177000,1985
5.76716,3.4079,2,4,18,High,Yes,3,Yes,585000,2558
5.74028,3.60206,6,5,23,High,Yes,3,Yes,549900,4000
5.8293,3.59572,4,3,12,High,Yes,2,No,675000,3942
5.91908,3.58984,4,4,11,High,Yes,3,No,830000,3889
5.96379,3.58625,4,5,5,High,Yes,3,No,920000,3857
5.93197,3.67724,4,4,12,High,Yes,3,No,855000,4756
5.76753,3.51878,4,3,20,High,Yes,3,No,585500,3302
5.60097,3.41979,3,3,13,High,Yes,2,No,399000,2629
5.89763,3.64523,5,5,5,High,Yes,3,No,790000,4418
5.82282,3.67633,4,4,6,High,Yes,3,No,665000,4746
5.86034,3.51081,3,3,13,High,Yes,3,No,725000,3242
5.8109,3.39164,3,3,10,High,Yes,3,No,647000,2464
5.89209,3.64532,4,5,15,High,Yes,7,No,780000,4419
5.8179,3.5885,3,3,10,High,Yes,3,No,657500,3877
5.76193,3.5807,5,4,20,High,Yes,3,No,578000,3808
5.69897,3.5284,5,4,55,High,Yes,2,No,500000,3376
5.68532,3.46835,3,3,23,High,Yes,3,Yes,484530,2940
5.78462,3.4239,5,3,5,High,Yes,3,No,609000,2654
5.80277,3.42684,4,3,7,High,Yes,3,No,635000,2672
5.71517,3.52969,4,4,8,High,Yes,3,No,519000,3386
5.79595,3.56205,4,4,10,High,Yes,3,No,625100,3648
5.76749,3.53845,4,5,7,High,Yes,3,No,585444,3455
5.60195,3.52127,3,4,31,High,Yes,3,Yes,399900,3321
5.59095,3.44979,4,3,6,High,Yes,3,No,389900,2817
5.81224,3.50651,3,5,7,High,Yes,3,No,649000,3210
5.72835,3.55485,4,5,15,High,Yes,3,No,535000,3588
5.80618,3.43217,3,3,8,High,Yes,3,No,640000,2705
5.77815,3.36996,4,3,77,High,Yes,2,No,600000,2344
5.7653,3.62982,5,4,7,High,Yes,4,No,582500,4264
5.7364,3.41747,3,3,6,High,Yes,3,No,545000,2615
5.68124,3.55727,6,4,21,High,Yes,3,No,480000,3608
5.77452,3.39428,4,4,13,High,Yes,3,No,595000,2479
5.78533,3.51202,3,4,17,High,Yes,3,Yes,610000,3251
5.75587,3.40603,2,3,6,High,Yes,3,No,570000,2547
5.68034,3.70174,7,3,13,High,Yes,3,No,479000,5032
5.7364,3.69662,6,6,15,High,Yes,3,Yes,545000,4973
5.52504,3.41196,4,3,36,High,Yes,2,No,335000,2582
5.79865,3.49679,6,4,25,High,Yes,2,Yes,629000,3139
5.70372,3.54605,4,4,23,High,Yes,3,No,505500,3516
5.72325,3.32818,0,0,10,High,Yes,3,No,528750,2129
5.5682,3.46776,4,4,15,High,Yes,3,No,370000,2936
5.72346,3.52517,5,4,8,High,Yes,3,No,529000,3351
5.6902,3.49638,4,4,13,High,Yes,3,No,490000,3136
5.72835,3.54716,4,5,6,High,Yes,3,No,535000,3525
5.78675,3.59295,6,5,7,High,Yes,3,No,612000,3917
5.64591,3.43169,4,3,11,High,Yes,3,No,442500,2702
5.69897,3.56158,3,4,18,High,Yes,3,No,500000,3644
5.73159,3.48742,4,4,10,High,Yes,3,No,539000,3072
5.73679,3.50961,4,4,11,High,Yes,3,No,545500,3233
5.62737,3.46509,4,4,14,High,Yes,3,No,424000,2918
5.51188,3.51402,4,3,17,High,Yes,3,No,325000,3266
5.56467,3.46835,4,7,14,High,Yes,2,No,367000,2940
5.6721,3.53529,3,4,36,High,Yes,2,Yes,470000,3430
5.59439,3.39305,4,4,15,High,Yes,3,No,393000,2472
5.72428,3.45909,4,4,10,High,Yes,3,No,530000,2878
5.60206,3.40432,3,3,9,High,Yes,2,No,400000,2537
5.60584,3.58636,4,4,15,High,Yes,3,No,403500,3858
5.74036,3.43807,3,3,11,High,Yes,3,No,550000,2742
5.57978,3.53908,5,4,30,High,Yes,2,No,380000,3460
5.69897,3.58388,5,4,20,High,Yes,3,No,500000,3836
5.66745,3.64865,7,5,28,High,Yes,2,No,465000,4453
5.65466,3.61066,5,4,19,High,Yes,3,No,451500,4080
5.52634,3.51865,3,4,25,High,Yes,2,No,336000,3301
5.74036,3.58297,4,5,27,High,Yes,2,Yes,550000,3828
5.65321,3.47319,4,3,22,Medium,Yes,2,No,450000,2973
5.64345,3.4504,5,4,40,Medium,Yes,2,Yes,440000,2821
5.71181,3.46982,5,3,33,Medium,Yes,2,No,515000,2950
5.61805,3.37328,3,3,25,Medium,Yes,2,No,415000,2362
5.57978,3.49024,3,4,24,Medium,Yes,2,No,380000,3092
5.68975,3.45728,4,4,20,Medium,No,2,No,489500,2866
5.67943,3.5275,5,4,21,Medium,Yes,3,No,478000,3369
5.66276,3.48686,4,4,14,Medium,Yes,3,No,460000,3068
5.57967,3.37658,3,3,4,Medium,Yes,3,No,379900,2380
5.59106,3.34733,2,3,5,Medium,Yes,3,No,390000,2225
5.52892,3.42406,3,3,54,Medium,Yes,2,No,338000,2655
5.8293,3.58602,4,4,6,Medium,Yes,3,No,675000,3855
5.64345,3.4612,4,4,25,Medium,Yes,2,No,440000,2892
5.69897,3.58343,4,3,50,Medium,Yes,2,No,500000,3832
5.6721,3.50024,6,4,20,Medium,Yes,2,No,470000,3164
5.50174,3.4183,3,2,77,Medium,Yes,3,No,317500,2620
5.63347,3.48799,6,4,18,Medium,Yes,3,No,430000,3076
5.63347,3.60444,6,4,16,Medium,Yes,3,No,430000,4022
5.67669,3.52853,4,3,5,Medium,Yes,3,No,475000,3377
5.58995,3.45606,5,4,13,Medium,Yes,1,No,389000,2858
5.60206,3.549,4,4,22,Medium,Yes,3,Yes,400000,3540
5.5966,3.48359,4,3,11,Medium,Yes,1,No,395000,3045
5.5966,3.61805,4,3,68,Medium,No,3,No,395000,4150
5.47129,3.24993,2,2,11,Medium,Yes,2,No,296000,1778
5.58827,3.38238,2,3,16,Medium,Yes,3,No,387500,2412
5.54777,3.42619,4,3,24,Medium,Yes,2,No,353000,2668
5.54407,3.35679,4,3,16,Medium,Yes,3,No,350000,2274
5.64111,3.46776,4,3,22,Medium,Yes,3,No,437632,2936
5.65079,3.40243,2,2,6,Medium,Yes,0,No,447500,2526
5.50311,3.38899,4,4,17,Medium,Yes,2,No,318500,2449
5.54654,3.49568,4,4,14,Medium,Yes,2,No,352000,3131
5.46982,3.40415,3,3,15,Medium,Yes,3,No,295000,2536
5.49624,3.52035,2,3,18,Medium,Yes,3,No,313500,3314
5.51851,3.3483,3,2,16,Medium,Yes,2,No,330000,2230
5.60206,3.42012,4,4,17,Medium,No,2,No,400000,2631
5.51188,3.42127,4,3,24,Medium,Yes,2,No,325000,2638
5.53148,3.44028,4,3,29,Medium,Yes,2,Yes,340000,2756
5.60195,3.51348,5,4,24,Medium,Yes,2,No,399900,3262
5.39777,3.28691,4,4,15,Medium,Yes,3,No,249900,1936
5.58995,3.49803,4,4,33,Medium,Yes,3,Yes,389000,3148
5.5617,3.41764,3,4,25,Medium,Yes,2,No,364500,2616
5.55328,3.55991,4,3,33,Medium,Yes,2,No,357500,3630
5.46982,3.29092,3,3,40,Medium,Yes,3,Yes,295000,1954
5.43854,3.28466,5,3,16,Medium,Yes,2,No,274500,1926
5.4133,3.40756,3,2,45,Medium,Yes,2,No,259000,2556
5.61805,3.35832,5,4,15,Medium,Yes,2,No,415000,2282
5.6464,3.52035,3,4,16,Medium,Yes,3,No,443000,3314
5.3962,3.30125,3,3,21,Medium,Yes,2,No,249000,2001
5.51851,3.41614,5,2,26,Medium,Yes,2,No,330000,2607
5.46389,3.45332,4,4,37,Medium,Yes,2,No,291000,2840
5.62118,3.4823,3,5,25,Medium,No,2,No,418000,3036
5.50515,3.35025,4,2,28,Medium,Yes,3,No,320000,2240
5.4216,3.25237,3,3,33,Medium,No,2,No,264000,1788
5.58092,3.4183,5,4,37,Medium,Yes,2,No,381000,2620
5.39794,3.17026,3,3,18,Medium,Yes,2,No,250000,1480
5.5563,3.41296,3,3,34,Medium,Yes,2,Yes,360000,2588
5.56761,3.49665,4,4,33,Medium,Yes,2,No,369500,3138
5.45545,3.39094,5,4,23,Medium,Yes,2,No,285400,2460
5.61172,3.55218,4,4,26,Medium,Yes,2,No,409000,3566
5.52244,3.43008,5,4,18,Medium,Yes,3,No,333000,2692
5.55871,3.471,5,4,15,Medium,Yes,3,No,362000,2958
5.58827,3.50024,4,4,36,Medium,Yes,2,Yes,387500,3164
5.3784,3.31345,3,3,33,Medium,Yes,2,No,239000,2058
5.47698,3.43409,3,4,19,Medium,Yes,2,No,299900,2717
5.52504,3.46538,4,3,15,Medium,Yes,3,No,335000,2920
5.43933,3.40722,5,3,42,Medium,Yes,2,No,275000,2554
5.51587,3.44793,3,4,14,Medium,Yes,2,No,328000,2805
5.52244,3.43712,4,3,23,Medium,Yes,2,Yes,333000,2736
5.59879,3.54605,5,7,6,Medium,Yes,3,No,397000,3516
5.5738,3.54851,6,4,24,Medium,Yes,2,Yes,374800,3536
5.716,3.33001,5,3,46,Medium,Yes,3,No,520000,2138
5.51188,3.43425,4,4,24,Medium,Yes,3,No,325000,2718
5.46982,3.33806,5,3,44,Medium,Yes,2,No,295000,2178
5.61805,3.49859,5,4,22,Medium,Yes,2,No,415000,3152
5.35199,3.41681,3,3,15,Medium,Yes,2,No,224900,2611
5.42325,3.31387,4,3,21,Medium,Yes,2,No,265000,2060
5.47698,3.38881,4,4,23,Medium,Yes,3,No,299900,2448
5.59106,3.60746,6,5,36,Medium,Yes,2,Yes,390000,4050
5.43297,3.38274,3,3,88,Medium,Yes,2,No,271000,2414
5.51851,3.48742,4,3,36,Medium,Yes,2,No,330000,3072
5.54407,3.40226,3,3,19,Medium,Yes,3,No,350000,2525
5.49136,3.45728,5,3,41,Medium,Yes,3,No,310000,2866
5.53148,3.51135,4,4,15,Medium,Yes,3,No,340000,3246
5.48714,3.43249,4,4,10,Medium,Yes,2,No,307000,2707
5.48287,3.36173,5,3,41,Medium,Yes,2,No,304000,2300
5.44075,3.26951,3,3,45,Medium,Yes,2,No,275900,1860
5.49831,3.56062,5,3,26,Medium,Yes,2,No,315000,3636
5.46982,3.28103,4,3,34,Medium,Yes,2,No,295000,1910
5.39969,3.35793,4,2,46,Medium,Yes,2,No,251010,2280
5.52504,3.52969,4,5,37,Medium,No,2,No,335000,3386
5.53593,3.36624,5,4,35,Medium,Yes,3,No,343500,2324
5.47276,3.29447,4,3,30,Medium,Yes,2,No,297000,1970
5.44871,3.31429,3,3,25,Medium,Yes,2,Yes,281000,2062
5.37107,3.4178,4,3,17,Medium,Yes,2,No,235000,2617
5.37475,3.41697,4,3,17,Medium,Yes,2,No,237000,2612
5.43917,3.39305,3,3,33,Medium,Yes,2,No,274900,2472
5.36154,3.28375,4,2,45,Medium,Yes,2,No,229900,1922
5.4133,3.26764,3,2,18,Medium,Yes,2,No,259000,1852
5.38917,3.35005,3,3,16,Medium,Yes,2,No,245000,2239
5.31806,3.31555,3,2,23,Medium,Yes,2,No,208000,2068
5.62428,3.32243,3,3,46,Medium,No,2,No,421000,2101
5.50515,3.34242,4,3,34,Medium,Yes,2,No,320000,2200
5.40824,3.29491,3,3,13,Medium,No,2,No,256000,1972
5.43933,3.30255,3,3,43,Medium,Yes,2,Yes,275000,2007
5.34635,3.41697,4,3,17,Medium,Yes,2,No,222000,2612
5.39777,3.32715,4,1,28,Medium,Yes,3,No,249900,2124
5.43696,3.41697,4,3,17,Medium,Yes,2,No,273500,2612
5.33945,3.4062,2,2,18,Medium,Yes,2,No,218500,2548
5.57634,3.44201,3,3,61,Medium,Yes,3,No,377000,2767
5.34242,3.30643,3,3,13,Medium,Yes,2,No,220000,2025
5.28533,3.29137,4,2,40,Medium,Yes,2,No,192900,1956
5.47531,3.39094,4,3,35,Medium,Yes,2,No,298750,2460
5.49831,3.44154,3,3,30,Medium,Yes,3,No,315000,2764
5.49831,3.3019,4,3,35,Medium,Yes,2,No,315000,2004
5.66829,3.45515,4,3,41,Medium,Yes,2,Yes,465900,2852
5.37931,3.32139,3,3,25,Medium,Yes,2,No,239500,2096
5.44091,3.36736,3,3,13,Medium,Yes,2,No,276000,2330
5.35411,3.4014,4,3,24,Medium,Yes,2,No,226000,2520
5.37107,3.40278,3,3,25,Medium,Yes,2,No,235000,2528
5.3927,3.3075,4,3,14,Medium,Yes,3,No,247000,2030
5.26007,3.344,2,2,17,Medium,Yes,2,No,182000,2208
5.25527,3.17609,2,1,64,Medium,Yes,0,No,180000,1500
5.3962,3.31765,5,3,37,Medium,Yes,2,No,249000,2078
5.41497,3.38775,4,3,33,Medium,Yes,2,No,260000,2442
5.34223,3.41697,3,3,16,Medium,Yes,2,No,219900,2612
5.46982,3.35564,4,3,30,Medium,Yes,3,No,295000,2268
